DocumentName,ColorNumber,MostFrequentColor,SecondMostFrequentColordata_detection_images_1-10.jpeg,26,"(255, 250, 250)","(248, 248, 255)"
data_detection_images_1-10.jpeg,26,"(255, 250, 250)","(248, 248, 255)"
data_detection_images_1-17.jpeg,8,"(255, 250, 250)","(250, 240, 230)"
data_detection_images_1-20.jpeg,4,"(255, 250, 250)","(230, 230, 250)"
data_detection_images_1-22.jpeg,30,"(210, 180, 140)","(255, 250, 250)"
data_detection_images_1-24.jpeg,6,"(255, 250, 250)","(248, 248, 255)"
data_detection_images_1-31.jpeg,11,"(248, 248, 255)","(255, 250, 250)"
data_detection_images_1-33.jpeg,4,"(230, 230, 250)","(248, 248, 255)"
data_detection_images_1-5.jpeg,17,"(255, 250, 250)","(248, 248, 255)"
data_detection_images_1-6.jpeg,18,"(248, 248, 255)","(255, 250, 250)"
data_detection_images_1-7.jpeg,4,"(255, 250, 250)","(248, 248, 255)"
data_detection_images_1-8.jpeg,6,"(255, 250, 250)","(248, 248, 255)"
data_detection_images_1-9.jpeg,3,"(255, 250, 250)","(248, 248, 255)"
Diagnostics programme immo L'Etang la ville-16.jpeg,6,"(248, 248, 255)","(255, 250, 250)"
Diagnostics programme immo L'Etang la ville-21.jpeg,10,"(245, 255, 250)","(119, 136, 153)"
Diagnostics programme immo L'Etang la ville-5.jpeg,8,"(255, 250, 250)","(230, 230, 250)"
immobilier Upside L'atelier  2-3.jpeg,19,"(255, 250, 250)","(230, 230, 250)"
immobilier Upside L'atelier  2-4.jpeg,19,"(255, 250, 250)","(173, 216, 230)"
immobilier Upside L'atelier -0.jpeg,14,"(245, 255, 250)","(255, 250, 250)"
immobilier Upside L'atelier -12.jpeg,19,"(245, 255, 250)","(255, 250, 250)"
immobilier Upside L'atelier -13.jpeg,6,"(255, 250, 250)","(245, 255, 250)"
immobilier Upside L'atelier -14.jpeg,13,"(240, 255, 255)","(176, 196, 222)"
immobilier Upside L'atelier -15.jpeg,4,"(255, 250, 250)","(248, 248, 255)"
immobilier Upside L'atelier -16.jpeg,4,"(255, 250, 250)","(248, 248, 255)"
immobilier Upside L'atelier -17.jpeg,4,"(230, 230, 250)","(245, 255, 250)"
immobilier Upside L'atelier -4.jpeg,19,"(255, 250, 250)","(230, 230, 250)"
immobilier Upside L'atelier -5.jpeg,19,"(255, 250, 250)","(173, 216, 230)"
immobilier Upside L'atelier -6.jpeg,10,"(255, 250, 250)","(245, 255, 250)"
