WebbMediaKit-17.jpeg,18,"(47, 79, 79)","(135, 206, 235)",91,23375000,5385909,0.23,1
HADOPI_RA_2014-2015-6.jpeg,5,"(60, 179, 113)","(143, 188, 143)",18,21972210,727819,0.03,1
Apple_SR_2020_Progress_Report_FR-29.jpeg,33,"(230, 230, 250)","(47, 79, 79)",685,23375000,7626178,0.33,1
7750-132.jpeg,38,"(255, 250, 250)","(255, 255, 240)",572,24171498,1791949,0.07,1
HADOPI_RA_2014-2015-75.jpeg,36,"(255, 250, 250)","(230, 230, 250)",1445,21972210,6858857,0.31,1
adaptation-changement-climatique-fiches-collectivites-9.jpeg,37,"(135, 206, 235)","(230, 230, 250)",1974,24175632,5780507,0.24,1
JWSTScienceFunPad-26.jpeg,3,"(255, 250, 250)","(230, 230, 250)",123,11687500,4209103,0.36,1
Apple_SR_2020_Progress_Report_FR-63.jpeg,26,"(230, 230, 250)","(47, 79, 79)",1178,23375000,8774940,0.38,1
plan-actions-climat-energie-bd-80.jpeg,24,"(255, 250, 250)","(250, 240, 230)",1891,24171498,7835548,0.32,1
JWSTScienceFunPad-6.jpeg,3,"(255, 250, 250)","(230, 230, 250)",434,11687500,3467453,0.3,1
Apple_SR_2020_Progress_Report_FR-55.jpeg,17,"(47, 79, 79)","(46, 139, 87)",3,23375000,0,0.0,1
data_detection_images_1-20.jpeg,4,"(255, 250, 250)","(230, 230, 250)",2582,23375000,5770747,0.25,1
ONERC_Rapport_2010_villes_et_adaptation-30.jpeg,9,"(255, 250, 250)","(230, 230, 250)",2533,24175632,4104713,0.17,1
data_detection_images_1-22.jpeg,39,"(210, 180, 140)","(119, 136, 153)",342,23375000,0,0.0,1
plan-actions-climat-energie-bd-5.jpeg,32,"(218, 165, 32)","(255, 250, 250)",665,24171498,6045186,0.25,1
plan-actions-climat-energie-bd-22.jpeg,27,"(250, 240, 230)","(230, 230, 250)",3015,24171498,3555161,0.15,1
HADOPI_RA_2014-2015-126.jpeg,6,"(186, 85, 211)","(221, 160, 221)",38,21972210,1333876,0.06,1
Apple_SR_2020_Progress_Report_FR-22.jpeg,33,"(230, 230, 250)","(47, 79, 79)",970,23375000,14421562,0.62,1
data_detection_images_1-31.jpeg,15,"(248, 248, 255)","(255, 250, 250)",800,23375000,3133816,0.13,1
Apple_SR_2020_Progress_Report_FR-7.jpeg,19,"(47, 79, 79)","(119, 136, 153)",53,23375000,20796551,0.89,1
plan-actions-climat-energie-bd-104.jpeg,12,"(230, 230, 250)","(119, 136, 153)",1578,24171498,6577305,0.27,1
JWSTScienceFunPad-12.jpeg,5,"(255, 250, 250)","(47, 79, 79)",402,11687500,3283331,0.28,1
plan-actions-climat-energie-bd-39.jpeg,37,"(250, 240, 230)","(230, 230, 250)",2282,24171498,5634519,0.23,1
plan-actions-climat-energie-bd-17.jpeg,17,"(72, 209, 204)","(240, 255, 255)",702,24171498,6324286,0.26,1
HADOPI_RA_2014-2015-68.jpeg,19,"(255, 250, 250)","(230, 230, 250)",3607,21972210,2600390,0.12,1
ONERC_Rapport_2010_villes_et_adaptation-0.jpeg,42,"(0, 0, 255)","(0, 128, 0)",293,24175632,25224331,1.04,1
immobilier Upside L'atelier -13.jpeg,7,"(255, 250, 250)","(230, 230, 250)",467,24171498,8101005,0.34,1
adapter_son_territoire_au_changement_climatique_Guide-9.jpeg,24,"(176, 196, 222)","(119, 136, 153)",3,17790880,17790880,1.0,1
HADOPI_RA_2014-2015-100.jpeg,8,"(107, 142, 35)","(189, 183, 107)",52,21972210,2351963,0.11,1
