DocumentName;Number_of_caracter;Area_of_letter;Area_of_word;Proportion_of_area_letter;Proportion_of_area_word;Proportion_of_area_letter2;Proportion_of_area_word2
Diagnostics programme immo L'Etang la ville-24.jpeg;7164;4613912;6982095;0,190882336;0,288856528;0,19;0,29
Diagnostics programme immo L'Etang la ville-25.jpeg;6379;4342832;6298326;0,179667474;0,260568294;0,18;0,26
Diagnostics programme immo L'Etang la ville-26.jpeg;7332;5263703;7320997;0,217764865;0,302877257;0,22;0,3
Diagnostics programme immo L'Etang la ville-27.jpeg;8278;5323629;8270462;0,220244066;0,342157611;0,22;0,34
Diagnostics programme immo L'Etang la ville-28.jpeg;7200;5255577;7317186;0,217428684;0,302719591;0,22;0,3
Diagnostics programme immo L'Etang la ville-29.jpeg;6599;4554054;6609496;0,188405948;0,27344172;0,19;0,27
Diagnostics programme immo L'Etang la ville-3.jpeg;1021;771567;873473;0,031920529;0,036136486;0,03;0,04
Diagnostics programme immo L'Etang la ville-30.jpeg;6448;4288479;6367254;0,177418834;0,263419917;0,18;0,26
Diagnostics programme immo L'Etang la ville-31.jpeg;8485;5383407;8584786;0,222717144;0,355161521;0,22;0,36
Diagnostics programme immo L'Etang la ville-32.jpeg;7281;5291613;7580275;0,218919531;0,313603857;0,22;0,31
Diagnostics programme immo L'Etang la ville-33.jpeg;7481;5055336;7541681;0,209144506;0,312007183;0,21;0,31
Diagnostics programme immo L'Etang la ville-34.jpeg;6692;5017819;6899731;0,207592388;0,285449044;0,21;0,29
Diagnostics programme immo L'Etang la ville-35.jpeg;7267;4699233;7211694;0,194412154;0,298355278;0,19;0,3
Diagnostics programme immo L'Etang la ville-36.jpeg;8040;5910031;8351972;0,244504126;0,345529764;0,24;0,35
Diagnostics programme immo L'Etang la ville-37.jpeg;7433;5024785;7393796;0,207880579;0,305889027;0,21;0,31
Diagnostics programme immo L'Etang la ville-38.jpeg;7883;5701744;8296717;0,235887077;0,343243807;0,24;0,34
Diagnostics programme immo L'Etang la ville-39.jpeg;7105;6137609;7354575;0,253919265;0,304266413;0,25;0,3
Diagnostics programme immo L'Etang la ville-4.jpeg;1220;5785514;5669208;0,239352729;0,234541028;0,24;0,23
Diagnostics programme immo L'Etang la ville-40.jpeg;6281;4115480;6120374;0,170261686;0,253206235;0,17;0,25
Diagnostics programme immo L'Etang la ville-41.jpeg;6954;5072573;7207372;0,209857618;0,298176472;0,21;0,3
Diagnostics programme immo L'Etang la ville-5.jpeg;1282;4026074;4402576;0,166562867;0,182139146;0,17;0,18
